# Control-plane events: parsed_x86_4.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 10192.231986 s, 46 transfers, span 649.539 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
   621.154 |     0.471 |    216.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   636.036 |    14.666 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   636.483 |     0.249 |    171.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   691.936 |    55.282 |     91.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   698.884 |     6.857 |    212.0 |      0 | bRequest=0x03 wValue=0x0004 wIndex=0x0001
   712.071 |    12.975 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 03 05 10 00
   712.500 |     0.231 |    174.0 |      0 | bRequest=0x01 wValue=0x0014 wIndex=0x0001
   768.208 |    55.534 |     22.0 |      0 | SET_ADDRESS wValue=0x0033
   784.044 |    15.814 |     74.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   784.341 |     0.223 |     70.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=9 -> 09 02 49 00 02 01 00 c0 00
   792.941 |     8.530 |    202.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
   793.396 |     0.253 |     50.0 |      0 | GET_DESCRIPTOR wValue=0x0300 len=255 -> 04 03 09 04
   793.605 |     0.159 |     76.0 |      0 | GET_DESCRIPTOR wValue=0x0302 wIndex=0x0409 len=255 -> 1e 03 4a 00 6f 00 63 00 6b 00 65 00 79 00 20 00 33 00 20 00 52 00 65 00 6d 00 69 00 78 00
   793.854 |     0.173 |     74.0 |      0 | GET_DESCRIPTOR wValue=0x0301 wIndex=0x0409 len=255 -> 0e 03 72 00 65 00 6c 00 6f 00 6f 00 70 00
   794.069 |     0.141 |     94.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   794.671 |     0.508 |     24.0 |      0 | SET_CONFIGURATION wValue=0x0001

================================================================================================
EVENT 3  [init+rate]  at 10194.208076 s, 25 transfers, span 87.111 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     37.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
     0.784 |     0.747 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
     2.839 |     2.032 |     28.0 |      0 | SET_INTERFACE intf=1 alt=1
     3.563 |     0.696 |     27.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
     4.280 |     0.690 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
     5.156 |     0.852 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
     6.041 |     0.861 |     30.0 |      0 | GET_STATUS len=1 -> 12
     6.241 |     0.170 |     35.0 |      0 | GET_STATUS len=1 -> 12
     6.440 |     0.164 |    214.0 |      0 | SET_STATUS wValue=0x0032
     6.766 |     0.112 |     30.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
    14.795 |     7.999 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
    16.227 |     1.409 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
    17.098 |     0.847 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
    17.876 |     0.754 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
    18.552 |     0.652 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
    19.226 |     0.650 |     30.0 |      0 | GET_STATUS len=1 -> 32
    19.391 |     0.135 |    125.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
    34.674 |    15.158 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    34.805 |     0.080 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
    34.925 |     0.069 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    35.043 |     0.066 |     54.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
    35.162 |     0.065 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    35.247 |     0.030 |    155.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
    86.695 |    51.293 |     32.0 |      0 | GET_STATUS len=1 -> 32
    86.898 |     0.171 |    213.0 |      0 | SET_STATUS wValue=0x0032

